ga,gaw,gad,gastr,FL,FM,FS,z,f1,z,f2,z,f3,z,f10,z,f25,z,f50,z,f75,z,f90,z,f95,z,f97,z,f98,z,f99
27.77142857,27,5.4,5,1.094920448,1.064773,0.190065971,-2.326347874,581.7253656,-2.053748911,639.8833328,-1.880793608,676.52108,-1.281551566,802.0799579,-0.67448975,927.3955819,0,1064.773,0.67448975,1200.483157,1.281551566,1321.386435,1.644853627,1393.236451,1.880793608,1439.70928,2.053748911,1473.685595,2.326347874,1527.086615
27.8,27,5.6,5,1.093533333,1.068069621,0.19013087,-2.326347874,583.5424225,-2.053748911,641.8553446,-1.880793608,678.5946258,-1.281551566,804.5218313,-0.67448975,930.2324649,0,1068.069621,0.67448975,1204.257689,1.281551566,1325.604286,1.644853627,1397.724889,1.880793608,1444.375393,2.053748911,1478.482879,2.326347874,1532.092164
27.82857143,27,5.8,5,1.092146218,1.071375131,0.190194814,-2.326347874,585.3670223,-2.053748911,643.8349195,-1.880793608,680.6757682,-1.281551566,806.9715354,-0.67448975,933.0775914,0,1071.375131,0.67448975,1208.041937,1.281551566,1329.832736,1.644853627,1402.224514,1.880793608,1449.053096,2.053748911,1483.29206,2.326347874,1537.110113
27.85714286,27,6,6,1.090759104,1.074689739,0.1902578,-2.326347874,587.1993037,-2.053748911,645.822205,-1.880793608,682.7646598,-1.281551566,809.4292408,-0.67448975,935.9311492,0,1074.689739,0.67448975,1211.836127,1.281551566,1334.07203,1.644853627,1406.73558,1.880793608,1453.742652,2.053748911,1488.113405,2.326347874,1542.140735
27.88571429,27,6.2,6,1.089371989,1.078013649,0.190319826,-2.326347874,589.0394041,-2.053748911,647.8173467,-1.880793608,684.8614516,-1.281551566,811.8951158,-0.67448975,938.7933241,0,1078.013649,0.67448975,1215.640484,1.281551566,1338.322408,1.644853627,1411.258338,1.880793608,1458.444318,2.053748911,1492.947178,2.326347874,1547.184303
27.91428571,27,6.4,6,1.087984874,1.081347062,0.190380889,-2.326347874,590.8874597,-2.053748911,649.8204891,-1.880793608,686.9662931,-1.281551566,814.3693269,-0.67448975,941.6642993,0,1081.347062,0.67448975,1219.455228,1.281551566,1342.584108,1.644853627,1415.793037,1.880793608,1463.158349,2.053748911,1497.793637,2.326347874,1552.241083
27.94285714,27,6.6,6,1.086597759,1.084690178,0.190440986,-2.326347874,592.7436055,-2.053748911,651.8317752,-1.880793608,689.0793323,-1.281551566,816.8520388,-0.67448975,944.5442556,0,1084.690178,0.67448975,1223.280575,1.281551566,1346.857362,1.644853627,1420.33992,1.880793608,1467.884993,2.053748911,1502.653037,2.326347874,1557.311338
27.97142857,27,6.8,6,1.085210644,1.088043192,0.190500114,-2.326347874,594.6079752,-2.053748911,653.8513465,-1.880793608,691.2007154,-1.281551566,819.3434139,-0.67448975,947.4333717,0,1088.043192,0.67448975,1227.116739,1.281551566,1351.142401,1.644853627,1424.899225,1.880793608,1472.624499,2.053748911,1507.525629,2.326347874,1562.395326
28,28,0,0,1.083823529,1.091406298,0.190558269,-2.326347874,596.4807013,-2.053748911,655.8793432,-1.880793608,693.3305874,-1.281551566,821.8436129,-0.67448975,950.3318235,0,1091.406298,0.67448975,1230.96393,1.281551566,1355.439451,1.644853627,1429.47119,1.880793608,1477.377107,2.053748911,1512.411661,2.326347874,1567.493301
28.02857143,28,0.2,0,1.082436415,1.094779686,0.190615448,-2.326347874,598.3619151,-2.053748911,657.915904,-1.880793608,695.4690915,-1.281551566,824.3527944,-0.67448975,953.2397849,0,1094.779686,0.67448975,1234.822357,1.281551566,1359.748735,1.644853627,1434.056046,1.880793608,1482.143057,2.053748911,1517.311374,2.326347874,1572.605514
