ga,gaw,gad,gastr,ML,MM,MS,z,m1,z,m2,z,m3,z,m10,z,m25,z,m50,z,m75,z,m90,z,m95,z,m97,z,m98,z,m99
27.08571429,27,0.6,0,1.059421849,1.046950277,0.174016564,-2.326347874,617.0203369,-2.053748911,668.1466499,-1.880793608,700.4633191,-1.281551566,811.7746348,-0.67448975,923.6186426,0,1046.950277,0.67448975,1169.422452,1.281551566,1278.999886,1.644853627,1344.308433,1.880793608,1386.620533,2.053748911,1417.588529,2.326347874,1466.316787
27.11428571,27,0.8,0,1.058807563,1.050315773,0.174103375,-2.326347874,618.8496012,-2.053748911,670.1511546,-1.880793608,702.5797951,-1.281551566,814.2832763,-0.67448975,926.530401,0,1050.315773,0.67448975,1173.246986,1.281551566,1283.24154,1.644853627,1348.801342,1.880793608,1391.277224,2.053748911,1422.365572,2.326347874,1471.284004
27.14285714,27,1,0,1.058193277,1.053686851,0.174189592,-2.326347874,620.6827781,-2.053748911,672.1597072,-1.880793608,704.7004144,-1.281551566,816.7964454,-0.67448975,929.4471508,0,1053.686851,0.67448975,1177.077765,1.281551566,1287.490087,1.644853627,1353.301555,1.880793608,1395.941496,2.053748911,1427.150401,2.326347874,1476.259337
27.17142857,27,1.2,1,1.057578992,1.057063509,0.174275233,-2.326347874,622.5198323,-2.053748911,674.1722761,-1.880793608,706.825148,-1.281551566,819.3141212,-0.67448975,932.3688794,0,1057.063509,0.67448975,1180.914794,1.281551566,1291.745543,1.644853627,1357.809093,1.880793608,1400.613369,2.053748911,1431.943041,2.326347874,1481.242817
27.2,27,1.4,1,1.056964706,1.06044575,0.174360315,-2.326347874,624.360734,-2.053748911,676.1888355,-1.880793608,708.9539727,-1.281551566,821.8362893,-0.67448975,935.2955811,0,1060.44575,0.67448975,1184.758087,1.281551566,1296.00793,1.644853627,1362.323983,1.880793608,1405.292877,2.053748911,1436.743525,2.326347874,1486.23448
27.22857143,27,1.6,1,1.05635042,1.063833587,0.174444855,-2.326347874,626.2054601,-2.053748911,678.2093666,-1.880793608,711.0868721,-1.281551566,824.3629424,-0.67448975,938.2272578,0,1063.833587,0.67448975,1188.607667,1.281551566,1300.277278,1.644853627,1366.846262,1.880793608,1409.980058,2.053748911,1441.551897,2.326347874,1491.234373
27.25714286,27,1.8,1,1.055736134,1.067227039,0.174528867,-2.326347874,628.0539932,-2.053748911,680.2338563,-1.880793608,713.2238361,-1.281551566,826.8940797,-0.67448975,941.1639182,0,1067.227039,0.67448975,1192.463564,1.281551566,1304.553629,1.644853627,1371.375974,1.880793608,1414.674963,2.053748911,1446.368208,2.326347874,1496.242553
27.28571429,27,2,2,1.055121849,1.070626131,0.174612367,-2.326347874,629.9063212,-2.053748911,682.2622971,-1.880793608,715.3648599,-1.281551566,829.4297063,-0.67448975,944.1055772,0,1070.626131,0.67448975,1196.325813,1.281551566,1308.837027,1.644853627,1375.913173,1.880793608,1419.377648,2.053748911,1451.192518,2.326347874,1501.259083
27.31428571,27,2.2,2,1.054507563,1.074030897,0.174695368,-2.326347874,631.7624382,-2.053748911,684.2946875,-1.880793608,717.5099451,-1.281551566,831.9698338,-0.67448975,947.0522567,0,1074.030897,0.67448975,1200.194461,1.281551566,1313.127529,1.644853627,1380.457921,1.880793608,1424.088178,2.053748911,1456.024895,2.326347874,1506.284038
27.34285714,27,2.4,2,1.053893277,1.077441377,0.174777884,-2.326347874,633.6223434,-2.053748911,686.331032,-1.880793608,719.659099,-1.281551566,834.5144801,-0.67448975,950.003985,0,1077.441377,0.67448975,1204.069558,1.281551566,1317.425197,1.644853627,1385.010285,1.880793608,1428.806626,2.053748911,1460.865415,2.326347874,1511.317497
27.37142857,27,2.6,2,1.053278992,1.080857618,0.174859926,-2.326347874,635.4860416,-2.053748911,688.3713397,-1.880793608,721.812334,-1.281551566,837.0636684,-0.67448975,952.9607963,0,1080.857618,0.67448975,1207.951163,1.281551566,1321.7301,1.644853627,1389.570341,1.880793608,1433.533072,2.053748911,1465.714162,2.326347874,1516.359549
27.4,27,2.8,2,1.052664706,1.084279671,0.174941507,-2.326347874,637.3535422,-2.053748911,690.4156257,-1.880793608,723.9696682,-1.281551566,839.6174276,-0.67448975,955.9227307,0,1084.279671,0.67448975,1211.839341,1.281551566,1326.042314,1.644853627,1394.138174,1.880793608,1438.267605,2.053748911,1470.571226,2.326347874,1521.41029
27.42857143,27,3,3,1.05205042,1.087707595,0.175022637,-2.326347874,639.2248601,-2.053748911,692.4639094,-1.880793608,726.1311245,-1.281551566,842.1757919,-0.67448975,958.8898337,0,1087.707595,0.67448975,1215.734164,1.281551566,1330.361923,1.644853627,1398.713872,1.880793608,1443.010317,2.053748911,1475.436705,2.326347874,1526.469823
27.45714286,27,3.2,3,1.051436134,1.091141455,0.175103327,-2.326347874,641.1000147,-2.053748911,694.5162161,-1.880793608,728.2967313,-1.281551566,844.7388014,-0.67448975,961.8621569,0,1091.141455,0.67448975,1219.635708,1.281551566,1334.689015,1.644853627,1403.297532,1.880793608,1447.761311,2.053748911,1480.310703,2.326347874,1531.538257
27.48571429,27,3.4,3,1.050821849,1.09458132,0.175183587,-2.326347874,642.9790305,-2.053748911,696.5725752,-1.880793608,730.4665216,-1.281551566,847.3065006,-0.67448975,964.839757,0,1094.58132,0.67448975,1223.544057,1.281551566,1339.023685,1.644853627,1407.889256,1.880793608,1452.520693,2.053748911,1485.193331,2.326347874,1536.61571
27.51428571,27,3.6,3,1.050207563,1.098027266,0.175263425,-2.326347874,644.8619364,-2.053748911,698.6330213,-1.880793608,732.6405334,-1.281551566,849.8789396,-0.67448975,967.822696,0,1098.027266,0.67448975,1227.4593,1.281551566,1343.366036,1.644853627,1412.489154,1.880793608,1457.288577,2.053748911,1490.084708,2.326347874,1541.702303
27.54285714,27,3.8,3,1.049593277,1.101479373,0.175342849,-2.326347874,646.7487657,-2.053748911,700.6975931,-1.880793608,734.8188089,-1.281551566,852.4561726,-0.67448975,970.8110405,0,1101.479373,0.67448975,1231.381531,1.281551566,1347.716174,1.644853627,1417.09734,1.880793608,1462.065083,2.053748911,1494.984954,2.326347874,1546.798166
27.57142857,27,4,3,1.048978992,1.104937727,0.175421868,-2.326347874,648.6395562,-2.053748911,702.7663341,-1.880793608,737.0013951,-1.281551566,855.0382592,-0.67448975,973.8048625,0,1104.937727,0.67448975,1235.31085,1.281551566,1352.074212,1.644853627,1421.713934,1.880793608,1466.850336,2.053748911,1499.894199,2.326347874,1551.903432
27.6,27,4.2,4,1.048364706,1.108402419,0.175500489,-2.326347874,650.5343495,-2.053748911,704.8392917,-1.880793608,739.1883429,-1.281551566,857.6252625,-0.67448975,976.8042378,0,1108.402419,0.67448975,1239.247362,1.281551566,1356.440266,1.644853627,1426.33906,1.880793608,1471.644466,2.053748911,1504.812578,2.326347874,1557.018243
27.62857143,27,4.4,4,1.04775042,1.111873544,0.175578717,-2.326347874,652.4331919,-2.053748911,706.9165178,-1.880793608,741.3797081,-1.281551566,860.217251,-0.67448975,979.8092478,0,1111.873544,0.67448975,1243.191177,1.281551566,1360.814461,1.644853627,1430.972851,1.880793608,1476.447609,2.053748911,1509.74023,2.326347874,1562.142744
27.65714286,27,4.6,4,1.047136134,1.115351201,0.17565656,-2.326347874,654.3361332,-2.053748911,708.998068,-1.880793608,743.5755498,-1.281551566,862.8142965,-0.67448975,982.8199773,0,1115.351201,0.67448975,1247.142408,1.281551566,1365.196923,1.644853627,1435.615441,1.880793608,1481.259905,2.053748911,1514.677299,2.326347874,1567.277084
27.68571429,27,4.8,4,1.046521849,1.118835494,0.175734022,-2.326347874,656.2432271,-2.053748911,711.0840017,-1.880793608,745.7759313,-1.281551566,865.4164753,-0.67448975,985.8365154,0,1118.835494,0.67448975,1251.101174,1.281551566,1369.587784,1.644853627,1440.26697,1.880793608,1486.081499,2.053748911,1519.623934,2.326347874,1572.42142
27.71428571,27,5,5,1.045907563,1.122326531,0.175811108,-2.326347874,658.1545313,-2.053748911,713.1743828,-1.880793608,747.9809199,-1.281551566,868.0238676,-0.67448975,988.8589558,0,1122.326531,0.67448975,1255.067598,1.281551566,1373.98718,1.644853627,1444.927584,1.880793608,1490.912543,2.053748911,1524.58029,2.326347874,1577.575912
27.74285714,27,5.2,5,1.045293277,1.125824424,0.175887823,-2.326347874,660.0701066,-2.053748911,715.269278,-1.880793608,750.1905863,-1.281551566,870.636557,-0.67448975,991.8873953,0,1125.824424,0.67448975,1259.041807,1.281551566,1378.395253,1.644853627,1449.59743,1.880793608,1495.75319,2.053748911,1529.546524,2.326347874,1582.740723
27.77142857,27,5.4,5,1.044678992,1.12932929,0.175964171,-2.326347874,661.9900178,-2.053748911,717.3687578,-1.880793608,752.4050048,-1.281551566,873.2546311,-0.67448975,994.9219348,0,1129.32929,0.67448975,1263.023933,1.281551566,1382.812147,1.644853627,1454.276661,1.880793608,1500.603597,2.053748911,1534.522799,2.326347874,1587.916022
27.8,27,5.6,5,1.044064706,1.132841246,0.176040153,-2.326347874,663.9143326,-2.053748911,719.472896,-1.880793608,754.6242529,-1.281551566,875.8781806,-0.67448975,997.9626784,0,1132.841246,0.67448975,1267.014108,1.281551566,1387.238011,1.644853627,1458.965435,1.880793608,1505.463928,2.053748911,1539.50928,2.326347874,1593.101982
27.82857143,27,5.8,5,1.04345042,1.136360417,0.176115774,-2.326347874,665.8431223,-2.053748911,721.58177,-1.880793608,756.8484119,-1.281551566,878.5072999,-0.67448975,1001.009734,0,1136.360417,0.67448975,1271.012472,1.281551566,1391.672995,1.644853627,1463.663911,1.880793608,1510.334348,2.053748911,1544.506138,2.326347874,1598.298778
27.85714286,27,6,6,1.042836134,1.139886928,0.176191036,-2.326347874,667.7764614,-2.053748911,723.6954602,-1.880793608,759.0775659,-1.281551566,881.1420864,-0.67448975,1004.063213,0,1139.886928,0.67448975,1275.019166,1.281551566,1396.117256,1.644853627,1468.372254,1.880793608,1515.215026,2.053748911,1549.513546,2.326347874,1603.506592
27.88571429,27,6.2,6,1.042221849,1.143420908,0.17626594,-2.326347874,669.714427,-2.053748911,725.8140497,-1.880793608,761.3118018,-1.281551566,883.7826404,-0.67448975,1007.123228,0,1143.420908,0.67448975,1279.034335,1.281551566,1400.570952,1.644853627,1473.090631,1.880793608,1520.106134,2.053748911,1554.53168,2.326347874,1608.725604
27.91428571,27,6.4,6,1.041607563,1.14696249,0.176340487,-2.326347874,671.6570995,-2.053748911,727.937625,-1.880793608,763.5512102,-1.281551566,886.4290655,-0.67448975,1010.189898,0,1146.96249,0.67448975,1283.058126,1.281551566,1405.034245,1.644853627,1477.81921,1.880793608,1525.00785,2.053748911,1559.56072,2.326347874,1613.956002
27.94285714,27,6.6,6,1.040993277,1.150511809,0.176414679,-2.326347874,673.6045622,-2.053748911,730.0662754,-1.880793608,765.7958838,-1.281551566,889.0814681,-0.67448975,1013.263341,0,1150.511809,0.67448975,1287.09069,1.281551566,1409.507299,1.644853627,1482.558167,1.880793608,1529.92035,2.053748911,1564.600849,2.326347874,1619.197974
27.97142857,27,6.8,6,1.040378992,1.154069002,0.176488516,-2.326347874,675.5569009,-2.053748911,732.2000925,-1.880793608,768.0459184,-1.281551566,891.7399569,-0.67448975,1016.343681,0,1154.069002,0.67448975,1291.132179,1.281551566,1413.990282,1.644853627,1487.307675,1.880793608,1534.843816,2.053748911,1569.652251,2.326347874,1624.451712
28,28,0,0,1.039764706,1.157634211,0.176561998,-2.326347874,677.5142042,-2.053748911,734.3391712,-1.880793608,770.3014124,-1.281551566,894.4046437,-0.67448975,1019.431043,0,1157.634211,0.67448975,1295.182751,1.281551566,1418.483363,1.644853627,1492.067914,1.880793608,1539.778432,2.053748911,1574.715115,2.326347874,1629.717411
28.02857143,28,0.2,0,1.03915042,1.161207576,0.176635123,-2.326347874,679.476563,-2.053748911,736.483608,-1.880793608,772.5624663,-1.281551566,897.0756423,-0.67448975,1022.525553,0,1161.207576,0.67448975,1299.242561,1.281551566,1422.986714,1.644853627,1496.839063,1.880793608,1544.724383,2.053748911,1579.789631,2.326347874,1634.995267
28.05714286,28,0.4,0,1.038536134,1.164789245,0.176707893,-2.326347874,681.444071,-2.053748911,738.6335029,-1.880793608,774.8291838,-1.281551566,899.7530693,-0.67448975,1025.627342,0,1164.789245,0.67448975,1303.311773,1.281551566,1427.500511,1.644853627,1501.621306,1.880793608,1549.681859,2.053748911,1584.87599,2.326347874,1640.285478
28.08571429,28,0.6,0,1.037921849,1.168379363,0.176780304,-2.326347874,683.4168239,-2.053748911,740.7889573,-1.880793608,777.10167,-1.281551566,902.4370431,-0.67448975,1028.736542,0,1168.379363,0.67448975,1307.390546,1.281551566,1432.024927,1.644853627,1506.414828,1.880793608,1554.651049,2.053748911,1589.974388,2.326347874,1645.588245
28.11428571,28,0.8,0,1.037307563,1.171978079,0.176852357,-2.326347874,685.39492,-2.053748911,742.9500753,-1.880793608,779.3800328,-1.281551566,905.1276846,-0.67448975,1031.853287,0,1171.978079,0.67448975,1311.479046,1.281551566,1436.560144,1.644853627,1511.219814,1.880793608,1559.632145,2.053748911,1595.085021,2.326347874,1650.903771
28.14285714,28,1,0,1.036693277,1.175585546,0.176924047,-2.326347874,687.3784594,-2.053748911,745.116963,-1.880793608,781.664382,-1.281551566,907.8251165,-0.67448975,1034.977713,0,1175.585546,0.67448975,1315.577439,1.281551566,1441.106339,1.644853627,1516.036453,1.880793608,1564.625342,2.053748911,1600.208085,2.326347874,1656.23226
28.17142857,28,1.2,1,1.036078992,1.179201915,0.176995374,-2.326347874,689.3675445,-2.053748911,747.2897286,-1.880793608,783.9548294,-1.281551566,910.5294635,-0.67448975,1038.109958,0,1179.201915,0.67448975,1319.685892,1.281551566,1445.663694,1.644853627,1520.864935,1.880793608,1569.630833,2.053748911,1605.343781,2.326347874,1661.573918
